Order,AreaNumb,Taxon,Rel,Hclust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Cyanobacteria,0.021918679,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Firmicutes,0.008682762,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Planctomycetes,0.005294367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Proteobacteria,0.750635324,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Verrucomicrobia,0.039390089,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Other,0.015036001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Actinobacteria,0.007756563,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Bacteroidetes,0.136634845,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Cyanobacteria,0.002386635,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Firmicutes,0.045942721,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Planctomycetes,0.005966587,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Proteobacteria,0.763126492,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Verrucomicrobia,0.01372315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,254,Other,0.024463007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Actinobacteria,0.024582583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Bacteroidetes,0.087718444,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Cyanobacteria,0.005354622,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Firmicutes,0.023511658,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Planctomycetes,0.025166723,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Proteobacteria,0.686267828,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Verrucomicrobia,0.116097941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,256,Other,0.031300201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Actinobacteria,0.003145469,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Bacteroidetes,0.118787699,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Cyanobacteria,0.002035303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Firmicutes,0.084409577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Planctomycetes,0.000481072,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Proteobacteria,0.762535618,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Verrucomicrobia,0.00288643,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,319,Other,0.025718832,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Actinobacteria,0.013797241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Bacteroidetes,0.106560506,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Cyanobacteria,0.013251895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Firmicutes,0.167257458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Planctomycetes,0.00359928,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Proteobacteria,0.590063805,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Verrucomicrobia,0.020995801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,Other,0.084474014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Actinobacteria,0.070933193,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Bacteroidetes,0.158897375,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Cyanobacteria,0.010534633,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Firmicutes,0.022825037,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Planctomycetes,0.019752436,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Proteobacteria,0.607497147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Verrucomicrobia,0.072688965,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,340,Other,0.036871214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
