AreaNumb,lon,lat,Hclust,faith_pd,observed_features,inv_simpson,cfus_per_ml
597,-89.38666389,43.13283333,1,10.23935185,112,38.441987,15600
598,-89.38125278,43.134725,1,8.021245427,45,11.96033,7710
607,-89.26714722,43.08791389,1,5.734539583,51,2.840864,11925
615,-89.32553056,43.13396944,1,7.259560483,98,14.977544,700800
618,-89.3337,43.12763056,1,11.05963684,103,28.275433,5235
619,-89.32794167,43.13006944,1,12.31269934,124,53.620238,5025
620,-89.36897222,43.04421667,1,10.36140901,105,14.553822,1629
676,-89.21322778,43.18977222,1,12.92877478,101,12.770845,1155
700,-89.23120833,43.17474722,1,12.97863108,147,64.314226,4717.5
725,-89.31279167,43.14066389,1,9.796627094,102,14.056732,27750
900,-89.34376667,43.06428889,1,11.99040372,122,25.2452,5280
972,-89.2753,43.09343611,1,9.034555817,76,15.021671,12945
973,-89.27407222,43.09425278,1,8.541888461,58,20.138769,4350
975,-89.26009722,43.10168889,1,10.00879267,78,18.038524,9060
978,-89.25681667,43.08764167,1,14.09069314,134,60.795178,10125
1931,-89.50446667,43.01480278,1,16.31758432,178,38.39053,930
1932,-89.50401944,43.01341667,1,10.18234597,89,16.188598,5448
3333,-89.37298611,43.13175,1,14.91011604,136,18.772019,2370
3922,-89.31119722,43.10498889,1,11.11357152,115,33.848344,5280
4022,-89.332275,43.09829444,1,9.938876619,84,3.997091,945
4130,-89.35785833,43.14571389,1,11.84046373,133,51.208794,4965
8301,-89.36995556,43.02939167,1,6.255070707,37,3.407784,396
9007,-89.52747222,43.10549722,1,16.43204546,198,92.834716,2775
9009,-89.41257778,43.04494444,1,8.718895296,69,21.692446,30630
9014,-89.48355,43.03571944,1,11.7834629,137,50.37124,244800
9019,-89.37782778,43.03843056,1,13.08068178,125,29.14832,6240
9098,-89.36595278,43.12641389,1,13.59845592,140,58.613105,41790
9601,-89.36846944,43.04263611,1,19.73214444,236,84.477541,44670
9970,-89.36821389,43.129475,1,8.710347735,75,5.882801,6090
9971,-89.36791389,43.12900556,1,12.10920975,110,16.837853,5910
81,-89.512625,43.08749444,2,8.859403011,95,21.720169,3555
164,-89.38135556,43.03361111,2,8.425720102,67,6.039272,1665
218,-89.54046111,43.07973889,2,4.290317521,20,1.527728,2145
243,-89.49573889,43.0433,2,11.69935779,97,11.776774,6975
249,-89.515725,43.08647778,2,8.106588168,70,3.945505,4357.5
397,-89.27967778,43.07508611,2,9.706945034,79,14.082183,1305
583,-89.38722778,43.03946389,2,12.85039437,119,25.116694,1785
584,-89.51110278,43.07431944,2,9.300340564,90,6.09656,3810
715,-89.22604167,43.20223889,2,9.644871619,90,32.112106,5092.5
718,-89.23279722,43.18917222,2,9.582762395,82,12.5453,810
719,-89.23351389,43.19089444,2,13.56343629,121,43.237727,810
724,-89.23390278,43.18931389,2,5.46791733,42,5.356078,330
969,-89.32712778,43.08829444,2,10.80505119,104,50.509851,65670
2041,-89.50436667,43.03880556,2,13.13181693,137,51.956748,2820
3262,-89.37706944,43.09469722,2,8.721683702,58,21.79962,6390
3921,-89.31273056,43.10533056,2,13.15340881,141,43.632405,9885
8300,-89.32039722,43.09703333,2,10.81972478,85,25.816146,390
8512,-89.49755278,43.04162222,2,9.485300312,68,6.003166,8610
